row_id,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
777,69802,Prodaja,Stan,4,2,2,0,Gas,Beograd,Opština Voždovac,Voždovačka crkva,86,DA,DA,DA,,Novogradnja,147000,44.776671,20.479439,0.05414848808600412,1.0
778,69803,Prodaja,Stan,3,7,7,0,CG,Beograd,Opština Čukarica,Banovo brdo,60,,DA,DA,DA,,84900,44.7729,20.4105,0.06597764773012416,3.0
779,69804,Prodaja,Stan,2,5,0,0,CG,Beograd,Opština Novi Beograd,Blok 24 (Super Vero),71,DA,DA,DA,DA,Stara gradnja,117600,44.8216,20.4005,0.052142305280836576,2.0
780,69805,Prodaja,Stan,4,6,0,0,CG,Beograd,Opština Novi Beograd,Bežanijska kosa 1,88,DA,DA,,DA,Stara gradnja,150000,44.81397,20.372432,0.08075630702304412,2.0
781,69806,Prodaja,Stan,4,5,1,0,CG,Beograd,Opština Novi Beograd,Bežanijska kosa 2,97,DA,DA,DA,DA,Stara gradnja,153000,44.8127,20.3705,0.0828336284367656,2.0
782,69807,Prodaja,Stan,3,5,4,0,CG,Beograd,Opština Vračar,Kalenić pijaca,74,,DA,DA,,,151000,44.8034,20.4788,0.03314407941095845,3.0
783,69808,Prodaja,Stan,1,7,6,0,CG,Beograd,Opština Novi Beograd,Paviljoni,35,,DA,DA,DA,Stara gradnja,75000,44.831647,20.405851,0.04741965636737671,2.0
784,69809,Prodaja,Stan,5,5,4,0,EG,Beograd,Opština Palilula,Karaburma,90,,DA,,,,90000,44.8105,20.5168,0.0655429630090071,3.0
785,69810,Prodaja,Stan,2,2,2,0,EG,Beograd,Opština Palilula,Borča,41,,DA,,,Stara gradnja,37900,44.8733,20.4644,0.050984311312401116,2.0
786,69811,Prodaja,Stan,3,4,0,0,CG,Beograd,Opština Voždovac,Šumice,52,DA,DA,,,,89900,44.7847,20.4839,0.050006899523965656,3.0
787,69812,Prodaja,Stan,4,13,3,0,CG,Beograd,Opština Stari grad,Dunavski kej,105,,,,,Novogradnja,315990,44.8249,20.4667,0.014150971698083785,1.0
788,69813,Prodaja,Stan,3,5,1,0,,Beograd,Opština Novi Beograd,Paviljoni,55,,DA,DA,DA,,88000,44.8314,20.4,0.0531606057151363,3.0
789,69814,Prodaja,Stan,4,2,2,0,EG,Beograd,Opština Voždovac,Voždovačka crkva,86,,DA,DA,,,147000,44.7747,20.4808,0.05653529870797403,3.0
790,69815,Prodaja,Stan,3,2,2,0,EG,Beograd,Opština Zemun,Cara Dušana,66,DA,DA,DA,,Novogradnja,95500,44.8509,20.3927,0.0657863967701523,1.0
791,69816,Prodaja,Stan,2,1,0,0,TA,Beograd,Opština Voždovac,Šumice,50,,DA,,,,90000,44.7883,20.4836,0.0470548615979276,3.0
792,69817,Prodaja,Stan,3,8,1,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,71,,DA,,DA,Stara gradnja,133000,44.8312,20.4098,0.04345215759890389,2.0
