,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
3132,73415,Prodaja,Stan,4,8,6,0,CG,Beograd,Opština Zvezdara,Vukov Spomenik,57,,DA,DA,DA,Stara gradnja,109990,44.8046,20.4781,0.03186000627746506,2.0
3133,73416,Prodaja,Stan,3,3,0,0,EG,Beograd,Opština Voždovac,Jove Ilića,64,,DA,DA,DA,Novogradnja,128000,44.7796,20.4714,0.04794006675005759,1.0
3134,73418,Prodaja,Stan,2,15,15,0,CG,Beograd,Opština Savski venac,Beograd na vodi,110,,DA,DA,DA,Novogradnja,358888,44.8122,20.4511,0.01159741350474834,1.0
3135,73420,Prodaja,Stan,3,4,2,0,Podno,Beograd,Opština Čukarica,Banovo brdo,72,,,DA,DA,Novogradnja,159000,44.77994,20.415253,0.05753030513564081,1.0
3136,73421,Prodaja,Stan,3,6,5,0,CG,Beograd,Opština Voždovac,Medaković 3,93,DA,DA,DA,DA,Stara gradnja,102000,44.774249,20.508753,0.07482353112490941,2.0
3137,73422,Prodaja,Stan,2,5,0,0,CG,Beograd,Opština Voždovac,Autokomanda,50,,DA,,,Stara gradnja,85000,44.7877,20.4659,0.038378249048127824,2.0
3139,73425,Prodaja,Stan,5,4,3,0,CG,Beograd,Opština Savski venac,Kraljice Natalije,140,DA,DA,DA,,Stara gradnja,250000,44.812359,20.457119,0.012208179307334147,2.0
3140,73430,Prodaja,Stan,2,1,0,0,TA,Beograd,Opština Zvezdara,Gradska bolnica,42,,DA,,,Stara gradnja,55000,44.803,20.4928,0.04521647929682388,2.0
3141,73431,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Savski venac,Humska,42,DA,DA,,,Stara gradnja,85000,44.7914,20.4557,0.032448420608713086,2.0
3142,73432,Prodaja,Stan,2,13,11,0,CG,Beograd,Opština Stari grad,Atelje 212,35,,DA,,DA,Stara gradnja,97000,44.81381,20.468296,0.018551994933161835,2.0
3144,73435,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Stari grad,Politika,50,,DA,,DA,Stara gradnja,112000,44.815,20.465,0.015147607071747934,2.0
3147,73440,Prodaja,Stan,3,6,6,0,CG,Beograd,Opština Zvezdara,Cvetkova pijaca,94,DA,,DA,DA,Novogradnja,148000,44.7918,20.4984,0.055814424658863965,1.0
